Name,Street,City,State,Zipcode,Category,Total Quantity to Deliver,Driver,Notes,Contact Name,Contact Phone,Has Rack,Restock,Advertiser,Latitude,Longitude,Delivered to Date,Returns,"County
",Area,Drop next time,One-off (featured in issue) ,Initial To Deliver,INITIAL DELivery,Restock 1,Restock 2,Restock 3,Restock 4
Tassajara Natural meats,930 Fremont Blvd., Monterey,CA,93940,food,25,Mick,MPC Market,Mark Shelley,,,n,,36.5943331,-121.8857957,0,,Monterey,Monterey,,,,,,,,
Bokay Nursery,30 Hitchcock Rd.,Salinas,CA,93908,garden,25,Mick,,,,,n,,36.646244,-121.6665421,50,,Monterey,Salinas,,,47,50,,,,
DIG Gardens,420 Water St, Santa Cruz,CA,95060,garden,50,Mick,,Cara,,,n,Y,36.979546,-122.020363,64,,Santa Cruz,Santa Cruz,,,47,64,,,,
Drought Resistant Nursery,"10 Scarlett Rd,",Carmel Valley,CA,93924,garden,25,Mick,Have been deliverying,,,y,,,36.519982,-121.791866,40,,,,,,,40,,,,
San Lorenzo Garden Center,235 River St,Santa Cruz,CA,95060,garden,50,Mick,,,,y,,,36.979796,-122.028737,0,,Santa Cruz,Santa Cruz,,,,,,,,
The Plant Works,7945 Highway 9,Santa Cruz,CA,95060,garden,25,Mick,,,,,n,,37.072071,-122.084541,0,,Santa Cruz,Santa Cruz Mntns,,,47,,,,,
5 Branches Institute,200 7th Ave, Santa Cruz,CA,95062,health,25,Mick,,,,,n,,36.964154,-121.998233,0,,Santa Cruz,Santa Cruz,,,,,,,,
Elite Fitness,5276 Scott's Valley Dr.,Scotts Valley,CA,95066,health,25,Mick,,,,,n,,37.05753,-122.010912,0,,Santa Cruz,"Santa Cruz - Mountans
",,,,,,,,
Health & Water Store,1180 Forest Ave., Pacific Grove,CA,93950,health,50,Mick,,Lisa Fritz,,y,n,,36.6057272,-121.9214134,30,,Monterey,Pacific Grove,,,47,30,,,,
Network Chiropractic Wellness Center,149 Josephine St. Suite A Santa Cruz,Santa Cruz,CA,95060,health,15,Mick,,Sarah,831-459-8434,,,,36.981684,-122.02852,0,,Santa Cruz,Santa Cruz,,,,,,,,
Portola Hotel & Spa,2 Portola Plaza, Monterey,CA,93940,health,400,Mick,"concierge & rooms 379, Mark each box ""Portola Hotel Housekeeping"" and text Jackie Olsen when they arrive. ",,,,n,Y,36.601799,-121.8951492,400,,Monterey,Monterey,,,400,400,,,,
Rector Chiropractic,2511 Garden Rd c100, Monterey,CA,93940,health,15,Mick,,,,,n,,36.586586,-121.8529892,0,,Monterey,Monterey,,,25,,,,,
The WellNest Skin & Body,240 Main St, Salinas,CA,93901,health,15,Mick,,,,,,Y,36.674605,-121.655076,15,,Monterey,Salinas,,,15,15,,,,
Kai Lee Creamery,125 Ocean View Blvd #128, Pacific Grove,CA,93950,ice cream,50,Mick,please deliver here,,,,n,,36.6185964,-121.9036887,0,,Monterey,Pacific Grove,,,47,,,,,
Penny Ice Creamery,913 Cedar St, Santa Cruz,CA,95060,ice cream,150,Mick,,Zach/Evan,,,y,Y,36.974754,-122.027809,194,,Santa Cruz,Santa Cruz,,,80,130,64,,,
Penny Ice Creamery,820 41st Avenue, Santa Cruz,CA,95062,ice cream,150,Mick,,Zach/Evan,50,,y,Y,36.963862,-121.964845,130,,Santa Cruz,Capitola,,,47,130,,,,
"Harrison Memorial Library, Carmel",Ocean Ave,Carmel-By-The-Sea,CA,93921,library,33,Mick,include most branches,,,,,,36.555184,-121.923306,,,,,,,,,,,,
Monterey library,625 Pacific Street, Monterey,CA,93940,library,50,Mick,"
",,,,,,36.596442,-121.897102,,,Monterey,Monterey,,,,,,,,
Pacific Grove Library,550 Central Ave, Pacific Grove,CA,93950,library,50,Mick,,,,,n,,36.6220699,-121.9164024,0,,Monterey,Pacific Grove,,,,,,,,
Santa Cruz Library - Aptos,7695 Soquel Dr,Santa Cruz,CA,95060,library,50,Mick,"
",,,,,,36.980815,-121.909123,0,,Santa Cruz,Santa Cruz,,,,,,,,
Santa Cruz Library - Branciforte,230 Gault St,Santa Cruz,CA,95060,library,50,Mick,"
",,,,,,36.979369,-122.007436,0,,Santa Cruz,Santa Cruz,,,,,,,,
Santa Cruz Library - Capitola,2005 Wharf Road,Capitola,CA,95010,library,50,Mick,"
",,,,,,36.978647,-121.957871,0,,Santa Cruz,Santa Cruz,,,,,,,,
Santa Cruz Library - Downtown,224 Church Street,Santa Cruz,CA,95060,library,50,Mick,"
",,,,,,36.974333,-122.028575,0,,Santa Cruz,Santa Cruz,,,,,,,,
Santa Cruz Library - Live Oak,2380 Portola Dr,Santa Cruz,CA,95060,library,50,Mick,"
",,,,,,36.962913,-121.980736,0,,Santa Cruz,Santa Cruz,,,,,,,,
Santa Cruz Library - Scotts Valley,251 Kings Village Rd,Scotts Valley,CA,95066,library,50,Mick,"
",,,,,,37.049414,-122.028397,0,,Santa Cruz,Santa Cruz,,,,,,,,
P-L-Hartnell,539 Hartnell St, Monterey,CA,93940,libray,33,Mick,,Heather,,,n,,36.5961685,-121.8954926,0,,Monterey,Monterey,,,,,,,,
Inter-Continental,750 Cannery Row, Monterey,CA,93940,lodging,25,Mick,,,,,n,,36.6167437,-121.9008234,30,,Monterey,Monterey,,,,30,,,,
Marriott,1255 41st Ave, Capitola,CA,95010,lodging,25,Mick,half case,Jon,,,y,,36.970013,-121.964971,0,,Santa Cruz,Capitola,,,25,,,,,
Corral Market,2 Corral De Tierra Rd,Salinas,CA,93908,market,50,Mick,,,,,,,36.578442,-121.727481,,,Monterey,River Road,,,50,50,,,,
El Salchichero,402 Ingalls St, Santa Cruz,CA,95060,market,100,Mick,,Chris,,,n,,36.958935,-122.048477,130,,Santa Cruz,Westside,,,47,130,,,,
New Leaf Community Market,150 San Mateo Rd, Half Moon Bay,CA,94019,market,50,Mick,drop off at the home office DT,Lonnie Handel,,,n,,37.468918,-122.43232,0,,Santa Cruz,North Coast,,,47,,,,,
New Leaf Head office,1101 G Cathcart St. Santa Cruz,Santa Cruz,CA,95060,market,10,Mick,only 10 plus case for HMB labeled,Sarah Owens,,,n,,36.971909,-122.024277,0,,Santa Cruz,Santa Cruz,,,5,,,,,
New Leaf- Capitola,1210 41st Ave. Capitola,Capitola,CA,95010,market,350,Mick,,,50,,n,Y,36.969029,-121.963478,130,,Santa Cruz,Capitola,,,141,130,,,,
New Leaf-Boulder Creek,13159 Hwy 9 Boulder Creek,Boulder Creek,CA,95006,market,50,Mick,,,,,n,Y,37.12487,-122.122536,50,,Santa Cruz,Boulder Creek,,,,50,,,,
New Leaf-Downtown,1134 Pacific Ave. Santa Cruz,Santa Cruz,CA,95060,market,200,Mick,,Kelly,50,,y,Y,36.972871,-122.025706,130,,Santa Cruz,Santa Cruz,,,187,130,,,,
New Leaf-Felton,6240 Hwy 9 Felton,Felton,CA,95018,market,200,Mick,,,,,y,Y,37.051987,-122.072609,180,,Santa Cruz,Felton,,,94,130,50,,,
New Leaf-Westside,1101 Fair Ave, Santa Cruz,CA,95060,market,300,Mick,,Kelly,,,y,Y,36.95929,-122.046295,128,,Santa Cruz,Santa Cruz,,,141,64,64,,,
Oldthown Marketplace,10B Mid-Town Lane, Salinas,CA,93901,market,50,Mick,saturday- take box,Jessica,,,n,,36.6742053,-121.6546784,0,,Monterey,Salinas,,,47,,,,,
Shopper's Corner,622 Soquel Ave, Santa Cruz,CA,95062,market,10,Mick,Lobby copies,,,,n,Y,36.976698,-122.01625,5,,Santa Cruz,Seabright,,,50,5,,,,
Staff of Life,1266 Soquel Avenue, Santa Cruz,CA,95062,market,100,Mick,,,,,,,36.980711,-122.00781,64,,Santa Cruz,Santa Cruz,,,50,64,,,,
Star Market,1275 S Main St, Salinas,CA,93901,market,600,Mick,,Victor,,,y,Y,36.6558723,-121.6591034,506,,Monterey,Salinas,,,250,250,256,,,
The Wharf Marketplace,290 Figueroa St, Monterey,CA,93940,market,100,Mick,,Brant,,,n,Y,36.6006048,-121.8900315,128,,Monterey,Monterey,,,94,64,64,,,
Whole Enchilada Market,7990 Highway 1, Moss Landing,CA,95039,market,100,Mick,,,,,y,,36.7956758,-121.7835163,64,,Monterey,Moss Landing,,,47,64,,,,
Whole Foods,1710 41st Ave, Capitola,CA,95010,market,100,Mick,,,,,y,,36.97419,-121.963791,0,,Santa Cruz,Capitola,,,94,,,,,
Whole Foods,800 Del Monte Center, Monterey,CA,93940,market,250,Mick,customer service desk,,,,y,,36.584535,-121.9003359,320,0,Monterey,Monterey,,,188,128,192,,,
Whole Foods,911 Soquel Ave.,Santa Cruz,CA,95062,market,100,Mick,,,,,y,,36.978828,-122.01416,0,,Santa Cruz,Seabright,,,80,,,,,
Drought Resistant Nursery,"850 Park Ave,",Monterey,CA,93940,nursery,50,Mick,,,,,n,,36.593589,-121.881062,50,,Monterey,Monterey,,,,50,,,,
Martin's Landscape supply,420 Olympia Ave., Seaside,CA,93955,nursery,50,Mick,,,,y,n,,36.6099586,-121.853157,50,,Monterey,Seaside,,,50,50,,,,
Seaside Garden Center,1177 San Pablo Ave., Seaside,CA,93955,nursery,50,Mick,,,,y,n,,36.6149305,-121.841096,50,,Monterey,Seaside,,,47,50,,,,
Kiosk Downtown Association,1130 Pacific Avenue K2 Santa Cruz,Santa Cruz,CA,95060,other,150,Mick,,,,,y,,36.972564,-122.025619,64,,Santa Cruz,Santa Cruz,,,94,64,,,,
Monterey Bay Aquarium Seafood Watch Program,886 Cannery Row, Monterey,CA,93940,other,33,Mick,,,,,,Y,36.617438,-121.901382,0,,Monterey,Monterey,,,,,,,,
Boulder Creek Pizza and Pub,13200 State Route 9, Boulder Creek,CA,95006,pizza,25,Mick,,,,,,,37.125285,-122.122145,0,,Santa Cruz,Santa Cruz,,,,,,,,
Engfer Pizza,537 Seabright Ave, Santa Cruz,CA,95062,pizza,25,Mick,,Liz,,,y,,36.968082,-122.008125,0,,Santa Cruz,Santa Cruz,,,25,,,,,
KAZU 90.3,"100 Campus Center, Bldg 201 Rm 317",Seaside,CA,93955,radio,0,Mick,mailed ,,,,,Y,36.652832,-121.799092,0,,Monterey,Seaside,,,,0,,,,
KSCO,2300 Portola Drive, Santa Cruz,CA,95062,radio,15,Mick,Twin Lakes radio station,John Sandidge,,,n,,36.961289,-121.981155,0,,Santa Cruz,Santa Cruz,,,,,,,,
Beyond the Box Kitchens,1001 Center St, Santa Cruz,CA,95060,retail,100,Mick,,Cyndi,,,n,,36.976109,-122.028778,64,,Santa Cruz,Santa Cruz,,,47,64,,,,
Camp Vintage Antique Show,7250 Carmel Valley Road, Carmel Valley,CA,93924,retail,50,Mick,June 13 & Sept 26 at the Earthbound Farm Stand,,,,,,36.533138,-121.848189,0,,Monterey,Event,,,,,,,,
Dark Horse Pottery,1642 Mission St.,Santa Cruz,CA,95060,retail,50,Mick,Deliver to SC Pottery on Mission,Joel,,,y,Y,36.965395,-122.041467,64,,Santa Cruz,Westside,,,47,64,,,,
Greenspace,719 Swift St, Santa Cruz,CA,95060,retail,30,Mick,,Lydia,,,n,,36.958725,-122.04969,10,,Santa Cruz,Santa Cruz,,,30,10,,,,
Many Hands Gallery,510 Bay Ave. Capitola,Capitola,CA,95010,retail,50,Mick,,Catrin/ Lauren,,,n,,36.978412,-121.952711,64,,Santa Cruz,Capitola,,,47,64,,,,
MJ Murphy Hardware Store,10 E carmel Valley ,Carmel Valley,CA,93924,retail,50,Mick,,,,y,,,36.479021,-121.731071,0,,Monterey ,Carmel Valley,,,50,,,,,
Mountain Feed,9550 State Route 9, Ben Lomond,CA,95005,retail,150,Mick,,Jorah/Andi,,y,n,,37.089825,-122.091217,64,,Santa Cruz,Santa Cruz Mntns,,,47,64,,,,
ReStore - Habitat for Humanity,719 Swift St Suite 62,Santa cruz,CA,95060,retail,25,Mick,,,,,n,Y,36.958957,-122.049185,25,,Santa Cruz,Santa cruz,,,30,25,,,,
Salinas Kitchens & Bath,1368 S. Main Street, Salinas,CA,93901,retail,25,Mick,,,,,n,,36.6543617,-121.6613846,0,,Monterey,Salinas,,,30,,,,,
Santa Cruz Kitchens & Bath,1824 Soquel Ave, Santa Cruz,CA,95062,retail,25,Mick,,,,,n,,36.981478,-122.000623,25,,Santa Cruz,Seabright,,,30,25,,,,
Sea Breeze Gallery,115 San Jose Ave. D Capitola,Capitola,CA,95010,retail,50,Mick,,Alyce,,y,n,,36.9723684,-121.9515882,0,,Santa Cruz,Capitola,,,47,,,,,
The True Olive Connection,106 Lincoln St., Santa Cruz,CA,95060,retail,25,Mick,,Susan,,,y,,36.972745,-122.025926,0,,Santa Cruz,Santa Cruz,,,47,,,,,
CSUMB,100 Campus Center, Seaside,CA,93955,school,33,Mick,"EVENT - Is this the college, who delivers?",,,,n,,36.6528831,-121.7954649,0,,Monterey,Seaside,,,,,,,,
UCSC,1156 High Street, Santa Cruz,CA,95064,school,33,Mick,"Farm stand T/F, Closed for season",Martha Brown,,,n,,36.977146,-122.052301,0,,Santa Cruz,Santa Cruz,,,94,,,,,
Blade Tech,"
",Pacific Grove,CA,93940,service,250,Mick,Floater - call owner 831-917-1330 and arrange a place to meet,Sean Joseph,,,y,Y,36.622406,-121.916504,320,,Monterey,Pacific Grove,,,94,320,,,,
Dina Clark Design,1729 Seabright Ave Ste. A, Santa Cruz,CA,95062,service,10,Mick,,,,,,Y,36.980839,-122.010838,0,,Santa Cruz,Santa Cruz,,,,,,,,
"L+G LLP, Attornies at Law",318 Cayuga St., Salinas,CA,93901,service,10,Mick,,,,,,Y,36.672477,-121.658966,10,,,SALINAS,,,10,10,,,,
Chardonnay Sailing Charters,704 Soquel Ave, Santa Cruz,CA,95062,sport,15,Mick,copies for office,,,,,Y,36.976899,-122.015875,0,,Santa Cruz,Santa Cruz,,,,,,,,
Burrell School Winery,24060 Summit Rd, Los Gatos,CA,95033,wine,0,Mick,,,,,,,37.121948,-121.932082,0,,Santa Clara,Summit,,,,,,,,
Hahn,37700 Foothill Road, Soledad,CA,93960,wine,50,Mick,,,,,n,,36.3832016,-121.3554916,130,,Monterey,River Road,,,84,130,,,,
Hallcrest Vineyards,379 Felton Empire Rd. Felton,Felton,CA,95018,wine,50,Mick,,John/Curtis,,,n,,37.050819,-122.077148,0,,Santa Cruz,Santa Cruz Mntns,,,50,,,,,
Jeninni Kitchen & Wine Bar,542 Lighthouse Ave, Pacific Grove,CA,93950,wine,50,Mick,,,,,,Y,36.621073,-121.916937,64,,Monterey,Pacific Grove,,,,64,,,,
Santa Cruz Mountain Winery,334 Ingalls St, Santa Cruz,CA,95060,wine,100,Mick,,Jeff,,,n,,36.95887,-122.04791,,,Santa Cruz ,Westside,,,,130,,,,
Scheid Tasting Room,1972 Hobson Ave.,Greenfield,CA,93927,wine,50,Mick,they take to Greenfield tasting room,,,,n,Y,36.2735825,-121.193779,130,,Monterey,River Road,,,47,130,,,,
Ser Winery,427 Swift Street,Santa Cruz,CA,95060,wine,50,Mick,need to check location,,,,,Y,36.956384,-122.048689,0,,Santa Cruz,Santa Cruz,,,,,,,,
Silver Mountain Vineyards,Silver Mountain Dr, Los Gatos,CA,95033,wine,0,Mick,,,,,,,37.110492,-121.934327,0,,Santa Clara,Summit,,,,,,,,
Storrs Winery,303 Portrero  suite #35 Santa Cruz,Santa Cruz,CA,95060,wine,50,Mick,,Pamela,,,n,Y,36.981175,-122.031281,50,,Santa Cruz,Santa Cruz,,,47,50,,,,
Villa Del Monte Winery,23076 Summit Rd, Los Gatos,CA,95033,wine,0,Mick,,,,,,,37.132483,-121.961617,0,,Santa Clara,Summit,,,,,,,,
Windy Oaks,325 A River St. Santa Cruz,Santa Cruz,CA,95060,wine,30,Mick,,Cary,,,n,Y,36.981003,-122.029419,0,,Santa Cruz,Santa Cruz,,,30,,,,,
Wrath Wines,35801 Foothill Rd., Soledad,CA,93960,wine,25,Mick,,,,y,n,,36.4091187,-121.3852081,50,,Monterey,River Road,,,47,50,,,,
Wrights Station Winery,24250 Loma Prieta Ave, Los Gatos,CA,95033,wine,0,Mick,,,,,,,37.123227,-121.928594,0,,Santa Clara,Summit,,,,,,,,
A Taste of Monterey,700 Cannery Row, Monterey,CA,93940,xxx,100,Mick,,Ken,,,y,,36.616669,-121.89991,74,,Monterey,Monterey,,,50,64,,10,,
Amoureuse,1119 Soquel Ave, Santa Cruz,CA,95062,xxx,25,Mick,,Sally,,y,n,,36.979569,-122.011711,0,,Santa Cruz,Santa Cruz,,,25,,,,,
Aqua Terra,529 Central Ave, Pacific Grove,CA,93950,xxx,10,Mick,,,,,n,Y,36.621735,-121.915928,0,,Monterey,Pacific Grove,,,,,,,,
Bay of Pines,150 Del Monte Ave, Monterey,CA,93940,xxx,10,Mick,"CLOSED MONDAYS, closed for the winter",,,,n,,36.6006622,-121.8934555,0,,Monterey,Monterey,,,47,,,,,
Driftwood,8071 Moss Landing Rd, Moss Landing,CA,95039,xxx,25,Mick,,,,,n,,36.7974689,-121.786108,20,,Monterey,Moss Landing,,,25,20,,,,
Fresh from D'Vine,1115 Monterey-Salinas Hwy, Salinas,CA,93901,xxx,50,Mick,,Jenni,,,n,,36.5701617,-121.7585047,50,,Monterey,Salinas,,,47,50,,,,
Gold Leaf,8 W. Gabilan Street, Salinas,CA,93901,xxx,30,Mick,,,,,n,,36.6756275,-121.6556943,0,,Monterey,Salinas,,,30,,,,,
Great Infusions Co.,317 Potrero St, Santa Cruz,CA,95060,xxx,50,Mick,,Sebastian,,,n,Y,36.981629,-122.030047,25,,Santa Cruz,Santa Cruz,,,25,25,,,,
Gusto,1901 Fremont Blvd, Seaside,CA,93955,xxx,50,Mick,,,,,,Y,36.616996,-121.842027,128,,Monterey,Seaside,,,,64,64,,,
Iveta,2125 Delaware Ave. Ste F, Santa Cruz,CA,95060,xxx,50,Mick,,John/Danielle,,,y,,36.955063,-122.050285,0,,Santa Cruz,Santa Cruz,,,47,,,,,
Jones & Bones,621 Capitola Ave., Capitola,CA,95010,xxx,50,Mick,,Jennifer,,,y,,36.978073,-121.953507,50,,Santa Cruz,Capitola,,,47,50,,,,
Julia's,1180 Forest Ave #F, Pacific Grove,CA,93950,xxx,50,Mick,ONLY OPEN THURS-SUN,Michael,,,n,,36.6057272,-121.9214134,30,,Monterey,Pacific Grove,,,47,30,,,,
La Creme/Crema,481 Lighthouse Ave, Pacific Grove,CA,93950,xxx,50,Mick,,Tamie,,,n,,36.6197968,-121.91539,50,,Monterey,Pacific Grove,,,47,50,,,,
Laili,101 Cooper St, Santa Cruz,CA,95060,xxx,100,Mick,,Ali,,,y,Y,36.975078,-122.026288,25,,Santa Cruz,Santa Cruz,,,47,25,,,,
Local Harvest Eatery,504 Front Street,Santa Cruz,CA,95060,xxx,25,Mick,,,,,,,36.971964,-122.024224,0,,Santa Cruz,,,,,,,,,
Manzoni,30981 River Road, Soledad,CA,93960,xxx,50,Mick,,,,,n,,36.4757195,-121.46772,50,,Monterey,River Road,,,47,50,,,,
Melinda's,41st Ave Capitola,Santa Cruz,CA,95060,xxx,25,Mick,,,,,n,,36.971149,-121.96471,25,,Santa Cruz,Santa Cruz,,,,25,,,,
Mint,4652 Scotts Valley Dr, Scotts Valley,CA,95066,xxx,15,Mick,,,,,n,,37.04929,-122.015205,15,,Santa Cruz,Scotts Valley,,,25,15,,,,
Monterey Plaza/Spa & Scooners?,400 Cannery Row, Monterey,CA,93940,xxx,25,Mick,,,,,n,,36.6124132,-121.8981432,0,,Monterey,Monterey,,,,,,,,
My Attic 1937,414 Alvarado St, Monterey,CA,93940,xxx,25,Mick,,,,,,Y,36.599504,-121.894521,60,,Monterey,Monterey,,,,30,30,,,
Pacific Trading Co.,504 Bay Ave, Capitola,CA,95010,xxx,25,Mick,,Anandi,,,y,Y,36.978638,-121.952499,30,,Santa Cruz,Capitola,,,30,30,,,,
Pacific Trading Co.,1224 Pacific Ave. Santa Cruz,Santa Cruz,CA,95060,xxx,50,Mick,,Anandi,,,n,Y,36.97369,-122.025673,35,,Santa Cruz,Santa Cruz,,,47,35,,,,
Pessagno,1645 River Rd. Salinas,Salinas,CA,93908,xxx,50,Mick,,,,,n,,36.4778562,-121.4813977,50,,Monterey,River Road,,,47,50,,,,
Petite Provence,506 Bay Ave. Capitola,Capitola,CA,95010,xxx,15,Mick,ouch did not display at all,Veronique,,y,y,,36.978733,-121.952828,10,,Santa Cruz,Capitola,,,30,10,,,,
Picnic Basket,125 Beach St, Santa Cruz,CA,95060,xxx,150,Mick,,Zach/Evan,,,n,Y,36.964211,-122.023361,94,,Santa Cruz,Santa Cruz,,,47,64,30,,,
Post No Bills,600 Ortiz Ave,Seaside,CA,93955,xxx,50,Mick,see EVENTS,,,,n,,36.6120033,-121.8501129,0,,Monterey,Seaside,,,30,,,,,
Puma,32720 River Road, Soledad,CA,93960,xxx,50,Mick,,,,,n,,36.4637947,-121.450882,64,,Monterey,River Road,,,47,64,,,,
Ramblin' Adventure Club,39 Edgewood Way, Santa Cruz,CA,95060,xxx,10,Mick,,,,,,Y,36.981455,-122.024019,0,,Santa Cruz,Santa Cruz,,,,,,,,
Ringlets & Roots-Kristen King,240 Main Street, Salinas,CA,93901,xxx,33,Mick,,,,,,Y,36.674622,-121.655079,15,,Monterey,Salinas,,,,15,,,,
Salinas 411,222 Main Street, Salinas,CA,93901,xxx,300,Mick,We'll have Flora pick up from here for the Salinas and King City Farmers' markets as well as the Cork & Plough ,,,,n,Y,36.6750412,-121.6554871,150,,Monterey,Salinas,,,250,150,,,,
Soif,105 Walnut Ave, Santa Cruz,CA,95060,xxx,25,Mick,,Patrice,,,n,Y,36.973309,-122.026268,25,,Santa Cruz,Santa Cruz,,,30,25,,,,
Stone Creek Kitchen,465 Canyon Del Rey Blvd, Monterey,CA,93940,xxx,300,Mick,,Linda,,,y,Y,36.5823441,-121.8292313,194,,Monterey,Monterey,,,94,130,64,,,
Talbott,37700 Foothill Rd, Soledad,CA,93960,xxx,50,Mick,,,,,n,Y,36.3832016,-121.3554916,130,,Monterey,River Road,,,84,130,,,,
The Foundre,13026 Central Ave, Boulder Creek,CA,95006,xxx,10,Mick,,Stephanie,,,n,,37.122948,-122.121429,0,,Santa Cruz,Boulder Creek,,,25,,,,,
The Works,667 Lighthouse Ave, Pacific Grove,CA,93950,xxx,25,Mick,,,,,n,,36.6219101,-121.9201813,30,,Monterey,Pacific Grove,,,30,30,,,,
Tramonti,528 Seabright Ave, Santa Cruz,CA,95062,xxx,25,Mick,,,,,n,,36.967972,-122.007645,0,,Santa Cruz,Santa Cruz,,,,,,,,
TusCA Ristorante / Hyatt Monterey,1 Old Golf Course Rd, Monterey,CA,93940,xxx,550,Mick,550 rooms,Walter,,,n,Y,36.5926842,-121.8770429,576,,Monterey,Monterey,,,550,576,,,,
Viva's,1201 Soquel Ave, Santa Cruz,CA,95062,xxx,50,Mick,,Conrad,,y,n,,36.979885,-122.01052,64,,Santa Cruz,Seabright,,,47,64,,,,
Wild Plum,731 Munras Ave, Monterey,CA,93940,xxx,25,Mick,,,,,n,,36.5948655,-121.8931791,0,,Monterey,Monterey,,,30,,,,,
Zeph's,1366 S Main St, Salinas,CA,93901,xxx,50,Mick,,,,,n,,36.6545179,-121.6606712,0,,Monterey,Salinas,,,47,,,,,
SCCFarmers Market,1305 Fair Ave. #2,Santa Cruz,CA,95060,farmers market,200,Mick,deliver to warehouse,Nesh/ Nicki,,,n,,36.960667,-122.0466,130,,Santa Cruz,Westside,,,188,130,,,,
Troia Foods,801 Foam St, Monterey,CA,93940,food,15,Mick,not a display stop,,,,n,Y,36.616156,-121.903274,0,,Monterey,Monterey,,,,,,,,
Phoebe's/Asilomar,800 Asilomar Ave,Pacific Grove,CA,93940,lodging,50,Mick,,,,,n,,36.619263,-121.93719,,,Monterey ,Pacific Grove,,,50,50,,,,
Pebble Beach Office,2790 17-Mile Drive,Pebble Beach,CA,93953,lodging,0,Sarah,mailed,,,,n,,36.611101,-121.9377306,0,,Monterey,Pebble Beach,,,,,,,,
